run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex3-run153,3.39569672743479,312987,6291433,5360186.39012366,1318050.01634956,18.4,27164569.640625,13598310.2437863,7235048,111146126,501177427.476563,521276342.230812,15064617,2510720133,434633114.25,25554977.1091629,400371468,482630967,8018838839.625,2229442273.96916,5776822858,11643777700,13,17.9,13.4,17,15,23.7,28.1,19.6
ex3-run154,3.29531520207723,1764555,12582884,9456177.87691628,2926122.83562131,19,26983482.552,18103102.5511825,684849,128119676,513205685.736,713612892.577369,4427805,3775580820,421616914.875,72719906.5927336,340143351,558972394,8018838839.625,3812904199.04105,4779460444,14594132617,12,14,16.6,13.3,14.1,29.6,35.3,17.1
ex3-run155,3.44496271212896,312987,6291433,5360186.39012366,1318050.01634956,18.3,13859246.1067194,8988761.07443647,240274,95286303,253560121.411067,381083709.513705,3492250,2255839444,438298658.125,51120765.1913962,352690363,524823879,8018838839.625,2171199013.88444,5758051528,12592020969,12.2,12.8,18,17.3,17.3,19.3,22.4,29
ex3-run156,3.21072669029236,1764555,12582884,9456177.87691628,2926122.83562131,18.7,15414024.4663677,13221652.537554,349347,119561861,287671348.506726,563790941.426346,4278529,3677650545,429665932,73958153.7196032,312312144,539756474,8018838839.625,3825673723.69239,4862922742,16648934170,12.4,11.4,23.4,13.8,13.2,19.6,19.9,37.2
ex3-run157,3.47493830919266,312987,6291433,5360186.39012366,1318050.01634956,18,5707148.27447833,4665904.41207788,240274,73267304,102970643.205457,222504066.826972,2171185,2145627703,444444171.875,61377053.0792892,363292933,573185725,8018838839.625,1275699891.0893,6602386063,9561677798,15.4,26.2,11.8,22.9,13.7,19,18.2,21.1
ex3-run158,3.30889035065969,1764555,12582884,9456177.87691628,2926122.83562131,18.3,8564669.89242054,8103032.79946995,349347,107293179,156847703.464548,384383688.75609,1764555,3601367703,437868748.25,101874859.721657,306849195,581947092,8018838839.625,3100986322.06503,4535898790,14567904239,13.2,24.4,12.8,17.8,16.5,13.8,15.7,36.7
ex3-run159,12.7985858122508,195912,6291456,5627720.77299758,1231279.90426676,18,111920619.929688,22182336.8876103,54513665,187197381,2018373261.92187,2086388178.85284,655156648,16940621190,1790729918.875,81001687.1094103,1592941837,1836960842,32293972190.75,5448910737.76006,26326476843,39690988801,23.9,15,14.7,21.9,19.5,15.5,19.6,14.9
ex3-run160,11.9085867563883,195912,12582912,10287161.6439436,2921848.13459077,18.5,109043789.984375,30038304.63081,49971820,199219360,2018373261.92187,2232138555.16126,663718575,16925055388,1744700639.75,170765305.090169,1511899195,1968987185,32293972190.75,5964899720.09721,25164817239,39664584841,25.6,14.8,15.2,21.8,16,16.4,19.2,20
ex3-run161,12.5299316247304,195912,6291456,5627720.77299758,1231279.90426676,18.1,55717300.8476563,16009614.6627478,12813539,131050490,1009186630.96094,1586827194.58065,206597286,15924190131,1782953627.125,66744405.2375984,1717388033,1904227182,32293972190.75,6839187472.91918,25037496470,40734944034,23.3,20.5,15.2,18.4,14.6,15.4,14.9,22.2
ex3-run162,11.9233667016029,195912,12582912,10287161.6439436,2921848.13459077,18.5,54566316.3945313,21965088.0841445,7811811,140716874,1009186630.96094,1595218975.08411,12154959,15789096972,1746122124.625,189299949.134657,1401696695,2061606347,32293972190.75,8232663164.04503,22621184063,42961903162,23.9,20.3,15.9,16.4,15.2,16.2,16.1,22.8
ex3-run163,12.5706315437953,195912,6291456,5627720.77299758,1231279.90426676,18,14136622.7919132,8451624.69795274,16384,88699716,254784790.459566,735541378.353964,2168726,14924089040,1791816938.875,133314565.499749,1639554640,1993159971,32293972190.75,9554676896.48592,23749689681,50312945276,14.1,15.4,19.4,15.2,27.4,22,15.3,14.5
